cellType	geneMarker
AXL+SIGLEC6+ dendritic cell	ACPP,ADA33,ADAM33,AK125727,ALDH2,APEX1,ARHGAP18,AT2B4,ATF5,ATP2B4,AXL,B3A3,BAIAP2,BAIP2,BHE40,BHLHE40,BIN1,C5ORF25,CADH1,CATW,CCND3,CD22,CD300LB,CD300LG,CD5,CD72,CDH1,CDKN1A,CDN1A,CEP95,CLM7,CLM9,COQ7,CTSW,CX3C1,CX3CR1,CXCR2,DAB2,DPYL2,DPYSL2,ENTP7,ENTPD7,F105A,FAM105A,FAM129A,GGTA1,GGTA1P,GNAQ,GP146,GPR146,HIP1,IRF4,KLF12,KLF4,LAX1,LGMN,LTK,MD12L,MECR,MED12L,MGLL,MRPS6,MYH11,MYO1E,NDRG1,NIBAN,PA216,PIM2,PLA2G16,PLAC8,PP14A,PPAP,PPP1R14A,PTGDS,RAD1,RBL1,RHG18,RN141,RN5A,RNASEL,RNF141,RT06,RUNX2,S100A10,S10AA,S20A1,S35C2,S41A2,SCN9A,SEN54,SEPT6',SIGL6,SIGLEC1,SIGLEC6,SLC20A1,SLC35C2,SLC41A2,SLC4A3,SN,SNR25,SNRNP25,SOX4,SP4,ST3L4,STAG3L4,STX18,SUCB1,SUCLA2,SUSD1,TBC1D9,TBCD9,THBD,THIO,TNF12,TNFSF12,TNNI2,TRBM,TSEN54,TXN,UFO,UPK3A,USF2,VASH1,ZEB1,ZN789,ZNF789
B cell	1-Mar,15-Sep,2B1A,5NTD,6-Sep,ABCB4,ABCB9,ABHD10,ABHDA,ACAD10,ACBD3,ACD10,ACP5,ACS2A,ACS2B,ACSM2A,ACSM2B,ACSM3,ADA19,ADA28,ADAM19,ADAM28,ADGRE5,AFF3,AFF4,AGM1,AHCYL1,AICDA,AID,AIDA,AIM2,AK1C1,AKA12,AKAP12,AKAP8L,AKP8L,AKR1C1,AL928768.3,ALG14,ALG8,ALKB7,ALKBH7,ALPL,AMN1,AMT,AN13A,ANAPC5,ANK2,ANKH1,ANKHD1,ANKRD13A,ANKRD44,ANM1,ANR44,AP1B1,AP1S3,APC5,APOM,APPL1,AQP7,ARHGAP24,ARI5B,ARID5B,ARL3,ARSA,ASB13,ASB15,AT2A3,AT2B1,ATF7IP2,ATG101,ATGA1,ATP2A3,ATP2B1,ATP6V0A1,ATRX,AVP,B-cell-specific activator protein (BSAP),B220,B2L11,B3GALT6,B3GT6,BACH2,BAFF-R,BAK,BAK1,BANK1,BASP1,BAT1,BC11A,BCAS4,BCL11A,BCL2,BCL2L11,BCL6,BCL7A,BCR,BEND5,BET1L,BHE41,BHLHE41,BICD1,BIRC3,BLA36,BLK,BLNK,BMP2K,BMP8B,BOB-1,BSAP,BST1,BST2,BTK,BTLA,BTNL9,C11orf24,C12orf42,C15orf57,C15orf65,C163A,C16orf74,C16orf87,C17orf67,C1GALT1,C1GLT,C1orf132,C1orf186,C2orf88,C2TA,C6orf48,CA2,CACB4,CACNB4,CAH2,CALB1,CAMK1D,CAPG,CASP2,CATH,CAV1,CBFA2T3,CBWD5,CBX7,CC191,CCD50,CCD81,CCDC191,CCDC50,CCDC81,CCHL,CCNB1,CCNB1IP1,CCNI,CCR10,CCR2,CCR4,CCR6,CCR7,CCS,CCSE1,CCSER1,CD10,CD102,CD115,CD11b,CD11c,CD122,CD126,CD127,CD130,CD137,CD138,CD14,CD150,CD152,CD157,CD16,CD163,CD18,CD180,CD183,CD185,CD19,CD192,CD194,CD196,CD1c,CD1C,CD1d,CD1D,CD2,CD20,CD200,CD21,CD212,CD217,CD218a,CD22,CD229,CD23,CD24,CD25,CD257,CD267,CD268,CD27,CD279,CD28,CD284,CD305,CD31,CD317,CD319,CD32,CD34,CD35,CD37,CD38,CD39,CD40,CD40L,CD40LG,CD43,CD45,CD45R,CD45RA,CD45RO,CD48,CD49d,CD5,CD52,CD55,CD62L,CD63,CD68,CD69,CD70,CD71,CD73,CD74,CD75,CD78,CD79a,CD79A,CD79b,CD79B,CD80,CD81,CD82,CD83,CD84,CD86,CD9,CD97,CDA7L,CDCA7L,CDHR5,CDK14,CE120,CE295,CENPM,CEP120,CEP295,CEPT1,CERS4,CFAI,CFI,CGT,CH17-353B19.1,CHAC2,CHD7,CHMP7,CHPF,CHPT1,CHSS2,CHTF8,CIITA,CINP,CIP1,CK024,CKAP4,CL042,CLCL1,CLD10,CLDN10,CLECL1,CLP1L,CLPTM1L,CLTR1,CNKR1,CNKSR1,CNPY3,CNR1,CNR2,CO065,CO4A4,CO9A3,COA5,COBL1,COBLL1,COCH,COE1,COJA1,COL19A1,COL4A4,COL9A3,COQ4,CP074,CP087,CPNE5,CPZIP,CQ067,CR1,CR2,CSF1R,CSNK1E,CSNK1G3,CTA-293F17.1,CTD-3184A7.4,CTF8,CTGF,CTL1,CTLA4,CTSH,CTXN3,CUL4B,CXCR3,CXCR4,CXCR5,CXXC5,CYAC3,CYB561A3,CYB5RL,CYFIP2,CYFP2,CYSLTR1,DAAM1,DAF,DAPP1,DAXX,DCOR,DDAH2,DDC,DDX11,DDX3X,DEMA,DEN5B,DENND5B,DERL3,DGKD,DHSO,DHTK1,DHTKD1,DHX29,DJC10,DLAT,DMA,DMB,DMTN,DNAJC10,DNAJC5B,DNAJC9,DNAL1,DNJ5B,DNJC9,DOB,DP13A,DPA1,DPAGT1,DPB1,DPY30,DQA1,DQB1,DQB2,DRA,DRAM2,DRB5,DUS22,DUSP22,E2F5,EAF2,EBF1,EBLN3,ECE1,ECHB,ECHP,ECSIT,EEF1B2,EEF1G,EEF2,EF1B,EF1G,EF2,EFHC1,EGFL7,EGLN1,EHHADH,EHMT1,EIF1AY,EIF3F,EIF4B,EMC9,EMRE,ENAM,ENTP1,ENTPD1,EPN2,ERN2,ERO1B,ERP29,EVI2B,EXOSC10,EXOSX,EZR,EZRI,F111B,F177B,F213A,FA2H,FAIM3,FAM111B,FAM129C,FAM159A,FAM177B,FAM213A,FAM27C,FAM3C,FAM65B,FBL,FBRL,FBX3,FBXO3,FCER2,FCG2A,FCG2B,FCG2C,FCG3A,FCG3B,FCGR2A,FCGR2B,FCGR2C,FCGR3A,FCGR3B,FCHSD2,FCMR,FCRL1,FCRL2,FCRL5,FCRLA,FCSD2,FFAR1,FGB,FGD2,FIBB,Flt3,FLT3,FMC7,FUT8,G6PT1,G8,GABPB1-AS1,GALNTL6,GAPT,GATA,GBG3,GBG7,GCP60,GCSAM,GCSP,GCST,GEMI7,GEMI8,GEMIN7,GEMIN8,GEN,GEN1,GGA2,GH1,GLDC,GLO1,GLP3L,GLRA3,GLTL6,GLTSCR2,GLYM,GMDS,GMPPB,GNB5,GNG3,GNG7,GOLPH3L,GP160,GP183,GPC3,GPC5D,GPD1,GPDA,GPM6A,GPR160,GPR18,GPR183,GPRC5D,GPT,GRAP,GRB2,GRP2,GRP3,GTF2H5,GTR11,GTR6,GUCD1,HADHB,HCCS,HDAC9,HG2A,HGAL,HHEX,HIP1R,HIST1H3J,HIST1H4C,HLA-DMA,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DR,HLA-DR family,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLAE,HMGB3,HMN8,HOXB6,HRK,HS90B,HSH2D,HSP13,HSP90AB1,HSPA13,HV307,HV315,HV323,HV601,HVCN1,HXB6,HYI,HYPDH,I12R1,I13R1,I17RA,I27L1,IARS,IBP4,ICAM2,ID3,IF1AY,IF4B,IFI27L1,IFNG-AS1,IFNGR2,IFRD2,IFT57,IgD,IgD family,IGF1,IGFBP4,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHGP,IGHM,IGHV3-15,IGHV3-23,IGHV3-7,IGHV6-1,IGJ,IGKC,IGKV1-12,IGKV1-5,IGKV3-20,IGKV3D-11,IGKV3D-20,IGKV4-1,IGLC2,IGLC3,IGLC5,IGLC6,IGLC7,IGLL1,IGLL5,IGLV3-1,IGLV4-69,IGLV6-57,IGLV7-43,IgM,IKBD,IKBE,IL-13alpha1,IL-21R,IL12A,IL12RB1,IL13RA1,IL17RA,IL18R,IL18R1,IL21R,IL2RA,IL2RB,IL6,IL6R,IL6RA,IL6RB,IL6ST,IL7,IL7R,IL7RA,ING5,INGR2,INPP5D,INTU,IPKG,IRF8,ISG20,ITA4,ITAM,ITAX,ITB2,ITF2,ITGA4,ITGAM,ITGAX,ITGB2,ITM2C,ITSN2,JADE3,JCHAIN,JUP,KC1E,KC1G3,KCC1D,KCNK5,KCNN3,KCNN4,KDM5D,KHDR2,KHDRBS2,KIAA0125,KIAA0226L,KIF12,KIZ,KLF13,KLF2,KLH14,KLHL14,KLHL5,KPCB,KSYK,KV105,KV112,KV320,KV401,KVD11,KVD20,LAGE3,LAIR1,LAMC1,LAMP5,LAPM5,LAPTM5,LARP6,LCN8,LDHD,LEMD3,Leu-12,LEUK,LG3BP,LGALS3BP,LGMN,LGR4,LGUL,LHPP,LMO2,LRC4C,LRMP,LRRC16A,LRRC4C,LRWD1,LSM12,LSM7,LTB,LV301,LV469,LV657,LV743,LY86,LY9,LYAM1,LYL1,LYN,LYPA1,LYPL1,LYPLA1,LYPLAL1,LYRM4,MA1A1,MACD2,MACROD2,MAN1,MAN1A1,MARCKSL1,MB2,MB2 family,MBD4,MCAF2,MCE1,MCEE,MCR,MDR3,MDS2,MED22,MED31,MEF2A,MEF2C,MET17,MET25,METL8,METTL17,METTL25,METTL8,MFN1,MFTC,MGAT5,MGT5A,MHC class II,MICA3,MICAL3,MIXL1,MK67I,MLK7-AS1,MME,MMP7,MOB3B,MORN2,MOXD1,MPZL1,MRP,MRPL24,MRPS16,MRPS2,MRPS25,MRPS27,MS3L1,MS4A1,MSL3,MT1E,MTCH2,MTD2L,MTG16,MTHFD2L,MTRNR2L8,MTSS1,MYBB,MYBL2,MYC,MYCB2,MYCBP2,MYO1D,MZB1,NAA50,NADC,NAP1L1,NAPSA,NB5R5,NBEAL1,NBEL1,NCF1,NCF4,NCOA3,NDK7,NDKM,NDUF6,NDUFAF6,NEK6,NEK8,NEK9,NEP,NEU2,NFKB2,NFKBID,NFKBIE,NGBR,NGLY1,NIBL2,NIFK,NIPA4,NIPAL4,NKX6-2,NKX62,NME4,NME7,NOC3L,NP1L1,NPB15,NPIPB15,NPM,NPM1,NR3C2,NR4A1,NSA2,NT5D2,NT5DC2,NT5E,NUAK2,NUDT6,NUP88,NUS1,NXPH4,OAS1,OAZ1,OBF1,Oct-2,ODC1,ODP2,ORAI2,ORC4,OSB10,OSBPL10,OSBPL10-AS1,OX2G,OX40L,OXCT1,P2RX5,P2RX5-TAX1BP3,P5CR1,PAR14,PAR15,PARP1,PARP14,PARP15,PAWR,PAX5,PCDH9,PCMD1,PCMTD1,PD-1,PDCD1,PDGFR,PDLI1,PDLIM1,PECA1,PECAM1,PEG10,PEN2,PFN2,PGES2,PGM3,PHACTR1,PHAR1,PHGDH,PI51B,PIGR,PIM3,PIP5K1B,PKHD1L1,PKHF2,PKHG1,PKHG7,PKHL1,PKIG,PLAC8,PLAK,PLD3B,PLEKHF2,PLEKHG1,PLEKHG7,PLIN5,PLP2,PLPP5,PNISR,PNOC,PO2F2,POU2AF1,POU2F2,PPA5,PPBT,PPM1K,PRCC,PRCD,PRDM2,PRDM4,PRELID3B,PRKCB,PRMT1,PRODH2,PROF2,PSENEN,PTGES2,PTN6,PTOV1,PTPN6,PTPRC,PTPRK,PXK,PYCR1,QCR6,QPRT,QRSL1,QTRT1,R3HD4,R3HDM4,RAB30,RAB3GAP1,RABE1,RABE2,RABEP1,RABEP2,RAD17,RAD50,RAG,RALGPS2,RAPGEF5,RASF6,RASGRP2,RASGRP3,RASSF6,RB,RB1,RB3GP,RBBP7,RBTN2,RCL1,RCSD1,RENT2,REPS2,REXO1,RGMB,RGPS2,RHBDD1,RHBL4,RHBT2,RHCG,RHG24,RHOBTB2,RHOH,RIC3,RISC,RL17,RL22,RL22L,RM24,RN170,RNAS6,RNASE6,RNASEH2B,RNASET2,RNF170,RNF25,RNGTT,RNH2B,RNT2,RPGF5,RPL17,RPL22,RPL22L1,RPS11,RPS13,RRAGC,RRAS2,RS11,RS13,RT02,RT16,RT25,RT27,RU17,RUND1,RUNDC1,RUVB1,RUVBL1,S22A7,S35B2,S35F2,S6A19,SAC31,SAC3D1,SAHH2,SATT,SAV1,SBP1,SC5D,SCAF4,SCARNA2,SCIMP,SCOT1,SCPEP1,SDC1,SDHB,SE1L3,SEC62,SEL1L3,SELENBP1,SELL,SEM4B,SEMA4B,SERA,SERTAD2,SESD1,SESTD1,SETBP,SETBP1,SFR15,SGOL1,SGSM3,SH2B2,SHIP1,SHISA8,SHMT2,SHPRH,SHSA8,SI1L3,SIA7D,SIAT1,SIDT1,SIDT2,SIM14,SIPA1L3,SIR3,SIRT3,SLAF1,SLAF5,SLAMF1,SLC1A4,SLC22A7,SLC25A32,SLC2A11,SLC2A6,SLC35B2,SLC35F2,SLC37A4,SLC44A1,SLC6A19,SLC7A9,SMAKA,SMARCB1,SMC6,SMCHD1,SMDT1,SMHD1,SMIM14,SNF5,SNG2,SNHG19,SNHG7,SNHG8,SNN,SNRNP70,SNTA1,SNX2,SNX22,SNX29,SOBP,SOMA,SORD,SOWAHD,SP100,SP110,SP140,SP140L,SP14L,SPAS2,SPATC1L,SPATS2,SPC1L,SPEE,SPIB,SPINT2,SPIT2,SPN,SRM,SRP14-AS1,SRTD2,SSPN,ST6GAL1,ST6GALNAC4,STAG3,STAP1,STEAL,STEAP1B,STRAB,STRADB,STRBP,STX7,SUCB1,SUCLA2,SUCO,SWAHD,SWAP70,SWP70,SYIC,SYK,SYNGR2,SYNPO,SYPL1,SYVN1,T53I1,TAF1D,TAF7,TAGAP,TASP1,TCEA1,TCEB3,TCF19,TCF3,TCF4,TCL1A,TCOF,TCOF1,TEFM,TEX9,TF2H5,TFE2,TFEB,TFIP8,TFR1,TFRC,TGT,THY1,TIFA,TIM9,TIMD4,TIMM9,TIPIN,TITIN,TKFC,TLE1,TLR10,TLR4,TM154,TM156,TM243,TMEM154,TMEM156,TMEM243,TMUB2,TN13B,TNFAIP8,TNFC,TNFL4,TNFRSF13B,TNFRSF13C,TNFRSF17,TNFRSF9,TNFSF13B,TNFSF4,TNR17,TNR5,TNR9,TP53INP1,TPD52,TPPC8,TR13B,TR13C,TRAF3,TRAF5,TRAM2,TRAPPC8,TRI38,TRIM38,TRIP11,TRIPB,TSHR,TSN1,TSN13,TSN3,TSPAN1,TSPAN13,TSPAN3,TTC14,TTC37,TTN,TXD11,TXND5,TXNDC11,TXNDC5,UB2J1,UBE2J1,UBE2N,UBP8,UD2A1,UGT2A1,UGT8,UHRF1,UPF2,UQCRH,USO1,USP8,UVRAG,VAV3-AS1,VOPP1,VPP1,VPRE3,VPREB3,WBP1,WBP5,WDFY4,WDR34,WDR4,WFDC2,WFS1,WNT16,XPNPEP2,XPP2,YPEL3,ZAP70,ZBED5,ZBP1,ZBT32,ZBTB32,ZCCHC7,ZCHC7,ZDH21,ZDHHC21,ZFAS1,ZN107,ZN254,ZN296,ZN532,ZN581,ZN791,ZN860,ZNF107,ZNF254,ZNF296,ZNF532,ZNF581,ZNF791,ZNF860,ZNF90,ZNF92
B cell memory	16.1,5-LOX,8HS20,ADAM23,ADAM28,AIM2,ALOX5,B7-1,B7-2,B7.1,B7.2,BACH2,BANK,BANK1,BB1R,BCM,BCMA,BLK,BLR1,BN-1,Bp35,BRDG1,BSAP,BTBD25,C3DR,CALDAG-GEFI,CALJA,CCR6,CD180,CD185,CD19,CD196,CD1C,CD20,CD21,CD22,CD267,CD269,CD27,CD28LG,CD28LG1,CD28LG2,CD307b,CD32B,CD37,CD38,CD45,CD45-AP,CD69,CD72,CD72b,CD73,CD79A,CD79B,CD80,CD84,CD86,CKR-L3,CLCA3,CLCA3P,CLEC2C,CMKBR6,COLEC1,CR2,CXCR5,DCR2,DENND5B,dJ80N2.1,DRY-6,eMDCII,eN,eNT,FAXF,FAZF,FCGR2B,FCRH2,FCRL2,FLJ00058,FLJ00382,FLJ10244,FLJ20706,FLJ23235,FLJ25604,FLJ46727,FRK,GNG7,GPR-CY4,GPR18,GPR29,GUSBP11,HCAK1,hCD84,HEX,HHEX,HLA-DOB,HOX11L-PEN,ICSBP,ICSBP1,IFN-alphaC,IFNA10,IGA,IGAD2,IGB,IGHD,IGHM,IGKC,IGLL3,IGLL3P,IL-7,IL7,IRF-8,IRF8,IRTA4,LOC440348,LTB,LY64,Ly78,LY86,LYB2,LYSP100-A,LYSP100-B,MB-1,MBL2,mCD84,MD-1,MDC-Lm,MDC-Ls,MDR15,MGC10442,MGC24039,MGC29633,MLN62,MS4A1,MS4A2,msk,N/OFQ,NKCC2,NMBR,NOP,NPIPB15,NPIPL2,NT5,NT5E,P2RX5,P2X5,PAX5,PNOC,PPNOC,PRHX,PTK5,PTPRC,PTPRCAP,PYHIN4,RAK,RALGPS2,RASGRP2,RNF83,Rog,RP105,S152,SIGLEC-2,SIGLEC2,SIK1,SIT,SIT1,SLAMF5,SLC12A1,SNF1LK,SP140,SPAP1,SPI-B,SPIB,STAP-1,STAP1,STRL22,T200,TACI,TMEM156,TNFC,TNFRSF13A,TNFRSF13B,TNFRSF17,TNFRSF7,TNFSF3,Tp55,TRAF4,TSPAN26,TZFP,VPREB3,ZBTB32,ZNF538
B cell naive	12CC4,16.1,8HS20,ABCB4,ADAM23,ADAM28,API2,BACH2,BAFFR,BANK,BANK1,BB1R,BCL7,BCL7A,BEND5,bHLHe32,BIRC3,BLK,BLR1,BM040,Bp35,BRAF,BRAF1,BRDG1,BTBD25,c-IAP2,C1orf165,C3DR,CALDAG-GEFI,CALLA,CD10,CD124,CD153,CD180,CD185,CD19,CD1C,CD2,CD20,CD21,CD22,CD23,CD23A,CD268,CD307b,CD30LG,CD32B,CD37,CD45-AP,CD52,CD62L,CD69,CD72,CD72b,CD74,CD79A,CD79B,CDW52,cIAP2,CLEC2C,CLEC4J,CR2,CXCR5,DHLAG,dJ80N2.1,EAF2,EDDM5,eMDCII,FCE2,FCER2,FCGR2B,FCRH2,FCRL2,FLJ00382,FLJ10244,FLJ11588,FLJ20706,FLJ25604,FLJ46727,FOXP1,FRK,GBD1,GPR105,GPR18,GUSBP11,HCAK1,HE5,HEX,hFKH1B,HHEX,hiap-1,HLA-DOB,HLA-DQB,HLA-DQB1,hLHRc,HOX11L-PEN,HSPC215,ICSBP,ICSBP1,IDDM10,IGA,IGB,IGHD,IGHM,IGKC,IGLL3,IGLL3P,IL2R,IL2RA,IL4R,IRF-8,IRF8,IRTA4,KIAA0001,KIAA0819,KIAA1874,LAM-1,LAM1,Leu-8,LINC00926,LNHR,LSEL,LTB,LY64,Ly78,LY86,Lyam-1,LYAM1,LYB2,MALT2,MB-1,MD-1,MDC-Lm,MDC-Ls,MDR15,MDR2,MDR3,MEP1A,MGC10442,MGC29633,MI,MICAL3,MIHC,MITF,MME,MS4A1,MS4A2,msk,N/OFQ,NKCC2,NMBR,NOP,P2RX5,P2RY14,P2X5,PFIC-3,PGY3,PLNHR,PNOC,PPHA,PPNOC,PRHX,PSBG2,PSG1,PSG2,PSGGB,PTK5,PTPRCAP,QRF1,RAK,RALGPS2,RASGRP2,RNF49,RP105,SELL,SIGLEC-2,SIGLEC2,SIK1,SLC12A1,SNF1LK,SPAP1,SPI-B,SPIB,STAG3,STAP-1,STAP1,TCL1,TCL1A,TNFC,TNFRSF13C,TNFSF3,TNFSF8,TRAITS,TSPAN26,UGT1A8,UGT1H,VPREB3,WS2,WS2A,ZNF286,ZNF286A
B1 cell	CD5
Basal cell	1433S,ACKR3,ADH7,ANXA8,ANXA8L1,AQP3,ARL4D,AT1B3,ATP1B3,AXA81,BMP7,C10orf99,C16orf74,Calcyclin,CAPG,CAV1,CCND2,CD109,CD151,CLCA2,CLCA4,CLD1,CLDN1,COHA1,COL17A1,CP074,CSTA,CXB3,CYTA,Cytokeratin 5,Cytokeratin-5,DAPL1,DSC3,DSG3,DUS7,DUSP7,FABP5,FABP5P3,FAT2,FB5L3,FBLN1,FGFBP1,FGFP1,FYB,Gal-3,GJB3,GLTP,GM2A,GPC1,GPNMB,GPX2,HMWCK,HSPB1,I20RB,I27L2,IASPP,IBP6,IFI27L2,IGFBP6,IL1RA,IL1RN,IL20RB,ILEU,ISK5,ITA6,ITGA6,JUP,K1C13,K1C14,K1C15,K1C16,K1C17,K2C4,K2C5,K2C6A,K2C6B,K2C6C,Keratin-14,Keratin-5,KRT13,KRT14,KRT15,KRT16,KRT17,KRT4,KRT5,KRT6A,KRT6B,KRT6C,LAD1,LEG3,LEG7,LGALS3,LGALS7,LGALS7B,LOXL4,LY6D,LYPD3,MMP28,MT1X,NOTC1,NOTCH1,NRARP,NXN,P63,PAI2,PGM2,PHLA3,PHLDA3,PKP1,PKP3,PLAK,PLAT,PLP2,POLR2J3,PPP1R13L,PTTG1,PVRL1,RAB38,RARG,RPB1C,S100A10,S100A14,S100A16,S100A2,S100A6,S100A8,S10A2,S10A6,S10A8,S10AA,S10AE,S10AG,SAP3,SDC1,SERPINB1,SERPINB13,SERPINB2,SERPINB5,SFN,SH3BGRL3,SH3L3,SOX15,SPB13,SPB5,SPINK5,SPR1A,SPR1B,SPRR1A,SPRR1B,TAZ,TBB6,TEAD1,TENS4,THBD,TIMP1,TMEM43,TMM43,TNS4,TP63,TPA,TRBM,TRIM7,TSC-22,TSC-22 family,TUBB6,UPK3BL,WN10A,WNT10A,Z385A,ZNF385A,ZYX
Basal epithelial cell	ACTA,ACTA2,K1C14,K2C5,KRT14,KRT5,MYLK,P63,TP63,VIM,VIME,Vimentin
Basal progenitor cell	CD24,CD44,CD49f,EpCAM,EPCAM,ITA6,ITGA6
Basophil	AMPN,ANPEP,BSP1,C5AR1,CCR2,CCR3,CCR5,CD107a,CD117,CD11a,CD11b,CD123,CD125,CD13,CD15,CD154,CD16,CD19,CD192,CD195,CD203c,CD218,CD22,CD25,CD281,CD282,CD284,CD286,CD289,CD294,CD33,CD38,CD40L,CD40LG,CD43,CD44,CD45,CD54,CD63,CD69,CD88,CD9,CEBPA,ENPP3,Fc-epsilon RI-alpha,FCER1A,FCERA,FCG3A,FCG3B,FCGR3A,FCGR3B,FUT4,GATA2,HLA-DR,HLA-DR family,I18RA,ICAM1,IgE,IgE family,IL18R,IL18R1,IL18RAP,IL2RA,IL3RA,IL5RA,ITAL,ITAM,ITGAL,ITGAM,KIT,LAMP1,LEUK,P49715,PD2R2,PTGDR2,PTPRC,SMAD1,SPN,TLR1,TLR2,TLR4,TLR6,TLR9
Basophils	5-HT1B,5-HT1DB,9-27,ACAS2,AceCS,ACSA,ACSS2,Act-2,ADORA2B,ALOX8,APY,AQP9,ARMD10,AT744.1,B10,BACE,BACE1,BCGF-1,BCGF1,bHLHb24,BMP2B,BMP4,BSF1,C/EBP-alpha,C14orf137,C14orf151,C14orf173,C1orf13,CABLES1,CC-CKR-3,CCL3,CCL4,CCL9,CCR3,CD11A,CD11b,CD11B,CD11c,CD11C,CD123,CD124,CD171,CD193,CD203c,CD20L,CD225,CD284,CD324,CD33,CD44,CD44R,CD69,CDH1,CEBP,CEBPA,CKR3,CLD,CLEC2C,CMKBR3,CPA3,CR3A,CSNB1B,CSPG8,D5D,D6D,DEFB40,DES6,DFNB39,DHDPS1,dJ1161H23.1,dJ366N23.1,dJ366N23.2,dJ434O11.1,dJ496H19.1,dJ857M17.1.2,DKFZp761K2222,DLAD,DNASE2B,DRA,DSPA2a,E2F8,E4BP4,EBI2,ENPP3,F-TCF,FADS1,FADS2,FADS6,FADSD5,FADSD6,FAR2,FBX9,FBXO9,FCE1A,FCER1A,FCER1B,FLJ00391,FLJ10462,FLJ21916,FLJ23311,FLJ34125,FLJ35924,FSTL2,G0S19-1,GABBR1,GATA2,GEF720,GM9895,gp130RB13-6,GPC4,GPR183,GPR97,GPRC1F,GPRC3A,GRM6,H1.3,H1d,H1F3,H1s-2,H2AFL,HCELL,HDC,hGB1a,HGF,HGFB,HIST1H1D,HIST1H2AC,HPTA,HSAS,HSAS1,HsT17287,HsT2563,HTM4,hToll,HTR1B,HTR1D2,HZFw1,ID1,IFI17,IFITM1,IGFBP-7,IGFBP7,IL-4,IL3BP1,IL3RA,IL4,IL4R,IN,INF2,ITGAL,ITGAM,ITGAX,ITGB7,JAZF1,K-glypican,KCP1,KIAA0720,KIAA1444,KIAA1534,KRTCAP1,L1CAM,LAMA5,LD78ALPHA,LIRF,LLCDL1,LLCDL2,LNX5,LPEAT1,LTC4S,LU1,MAC25,MBOAT1,MC56,MCPT8,MDU2,MDU3,MGC13251,MGC14156,MGC3102,MGC3184,MGC33147,MGC44669,MGC79402,mGlu6,MGLUR6,MIC4,MIC5,MIP-1-alpha,MIP-1-beta,MLSTD1,MRGPRA6,MS4A1,MS4A2,MS4A3,NF-IL3A,NFE1B,NFIL3,NFIL3A,NPL,NPL1,NT5C3,NY-REN-57,OACT1,OBPH1,ORP5,OSBPL5,OTUB2,P2RY1,P2Y1,PD-IBETA,PDK3,PDNP3,PDZD4,PDZK4,PDZRN4L,PERP,Pgp1,PIGPC1,PIGY,PLEKHG5,PLG,PRSS34,PSCTK4,RECQ3,RECQL2,RNF39,SARCC,SCYA3,SCYA4,SDR10E2,SIAT7E,SIGLEC-3,SIGLEC3,SLC26A3,SLC26A8,SLL0262,SNCAIP,SPG1,SPT3,SPT3L,SSC1,ST6GALNAC5,ST6GalNAcV,SUPT3H,SYPH1,Syx,TEC,Tech,THW,TIP27,TLR-4,TLR4,TU12,TU13,TUBL3,TULP3,UNC93A,UVO,uvomorulin,WRN,ZNF802
Beige adipogenic precursor cell	COE2,EBF2
Bergmann glia	10-fTHF,A2M,ACSBG1,ALDH1L1,AQP4,ARTS,ATP7A,B-FABP,BCNS,BG1,BGM,BICD2,BLBP,BMP-3b,BORG4,BTBD17,BTBD17A,C14orf60,C16orf23,CD29,CDC42EP4,CE5B3,CPAMD5,CX30,CX43,DAAO,DAMOX,DAO,DKFZP586B0923,EA6,EAAT1,EAAT2,ED2,EDH,EGFR,ERBB,ERBB1,ETBR-LP-2,FABP7,FLJ11457,FLJ25530,FLJ30320,FLJ45472,FNRB,FTHFD,FWP007,GDF10,GFAP,GJA1,GJAL,GJB6,GLAST,GLIALCAM,GLT-1,GluA1,GluA4,GluN2B,GluN3A,GLUR1,GLUR4,GLURA,GLURD,GPIIA,GPR37L1,GPRC1C,GRIA1,GRIA4,GRIN2B,GRIN3A,GRM3,H3P,hBG1,hCDCREL-2,hepaCAM,HEPACAM,hhNMC,HNBC1,HOPX,hsBG,hucep-7,IFT139B,ITGB1,ITIH3,JBTS11,KAIA1777,KBP,KIAA0569,KIAA0631,KIAA0699,KIAA0743,KIAA0776,KIAA1279,KIF1BP,LAGY,LGALS3BPL,MART,Maxer,MDF2,METRN,MGC14352,MGC17125,MGC20089,MGC2601,MGC3740,mGlu3,MGLUR3,MIWC,MNK,MSK12,NBC1,NBC2,NBCCS,NECC1,NLBP,NMDAR2B,NPHP12,NRXN3,NTR2,NTSR2,OB1,ODDD,ODOD,P2RX7,P2RY1,P2X7,P2Y1,pNBC,PNUTL2,PTCH,PTCH1,RCAD,S100B,S100beta,S863-7,SARCC,SDTY3,SEPT4,SLC1A2,SLC1A3,SLC4A4,SLC4A5,SMAP31,TANGO10A,THM1,TTC20,TTC21B,UFL1,VIM,ZEB2,ZFHX1B
